sigla_provincia;denominazione_ita;codice_belfiore;data_inizio_validita;data_fine_validita
RM;AGOSTA;A084;15/01/1871;
CO;AGRA;A085;17/03/1861;11/01/1927
VA;AGRA;A085;12/01/1927;
NO;AGRANO;A086;17/03/1861;24/03/1928
MI;"AGRATE BRIANZA";A087;04/02/1869;29/06/2009
MB;"AGRATE BRIANZA";A087;30/06/2009;
NO;"AGRATE CONTURBIA";A088;23/04/1863;
AG;GIRGENTI;A089;17/03/1861;26/07/1927
AG;AGRIGENTO;A089;27/07/1927;
TN;AGRONE;A090;16/10/1920;13/02/1923
TN;AGRONE;A090;14/02/1923;06/03/1928
SA;AGROPOLI;A091;17/03/1861;
AN;AGUGLIANO;A092;17/03/1861;
VI;AGUGLIARO;A093;19/11/1866;
TO;AYAS;A094;17/03/1861;11/01/1927
AO;AYAS;A094;12/01/1927;20/10/1939
AO;AIAS;A094;21/10/1939;29/01/1946
AO;AYAS;A094;30/01/1946;
GO;AIBA;A095;05/01/1921;07/02/1923
UD;AIBA;A095;08/02/1923;11/01/1927
GO;AIBA;A095;12/01/1927;12/03/1928
MI;AICURZIO;A096;04/07/1909;29/06/2009
MB;AICURZIO;A096;30/06/2009;
CA;AIDOMAGGIORE;A097;17/03/1861;19/08/1974
OR;AIDOMAGGIORE;A097;20/08/1974;
CL;AIDONE;A098;17/03/1861;11/01/1927
EN;AIDONE;A098;12/01/1927;
GO;AIDUSSINA;A099;05/01/1921;07/02/1923
UD;AIDUSSINA;A099;08/02/1923;11/01/1927
GO;AIDUSSINA;A099;12/01/1927;15/09/1947
AQ;AIELLI;A100;17/03/1861;
AV;"AIELLO DEL SABATO";A101;16/01/1864;
CS;"AIELLO CALABRO";A102;19/05/1928;
UD;"AIELLO DEL FRIULI";A103;05/01/1921;07/02/1923
UD;"AIELLO DEL FRIULI";A103;08/02/1923;
CS;"AIELLO IN CALABRIA";A104;01/04/1864;18/05/1928
CS;AIETA;A105;17/03/1861;11/05/1928
CS;AIETA;A105;18/07/1937;
CE;AILANO;A106;17/03/1861;11/01/1927
BN;AILANO;A106;12/01/1927;31/08/1945
CE;AILANO;A106;01/09/1945;
NO;AILOCHE;A107;17/03/1861;11/01/1927
VC;AILOCHE;A107;12/01/1927;15/04/1992
BI;AILOCHE;A107;16/04/1992;
TO;AYMAVILLES;A108;17/03/1861;11/01/1927
AO;AYMAVILLES;A108;12/01/1927;12/05/1928
AO;AIMAVILLA;A108;04/07/1939;29/01/1946
AO;AYMAVILLE;A108;30/01/1946;01/01/1977
AO;AYMAVILLES;A108;02/01/1977;
TO;AIRASCA;A109;26/05/1893;
BN;AIROLA;A110;17/03/1861;
IM;AIROLE;A111;17/03/1861;
CO;AIRUNO;A112;17/03/1861;15/04/1992
LC;AIRUNO;A112;16/04/1992;
CN;AISONE;A113;17/03/1861;
CO;AIZURRO;A114;17/03/1861;08/11/1927
SS;"ALA' DEI SARDI";A115;14/01/1864;31/12/2005
OT;"ALA' DEI SARDI";A115;01/01/2006;27/04/2016
SS;"ALA' DEI SARDI";A115;28/04/2016;
TN;ALA;A116;16/10/1920;13/02/1923
TN;ALA;A116;14/02/1923;
TO;"ALA DI STURA";A117;11/03/1864;
