sigla_provincia;denominazione_ita;codice_belfiore;data_inizio_validita;data_fine_validita
NO;BORGOMANERO;B019;17/03/1861;
IM;BORGOMARO;B020;17/03/1861;
TO;BORGOMASINO;B021;17/03/1861;11/01/1927
AO;BORGOMASINO;B021;12/01/1927;04/10/1945
TO;BORGOMASINO;B021;05/10/1945;
BS;BORGONATO;B022;19/08/1867;28/07/1928
TO;"BORGONE SUSA";B024;05/01/1863;
PC;"BORGONOVO VAL TIDONE";B025;17/03/1861;
PU;"BORGO PACE";B026;17/03/1861;
BO;"BORGO PANIGALE";B027;17/03/1861;05/12/1937
PV;"BORGO PRIOLO";B028;29/11/1928;
AL;"BORGORATTO ALESSANDRINO";B029;16/02/1863;
PV;"BORGORATTO MORMOROLO";B030;30/03/1863;
PD;BORGORICCO;B031;17/05/1869;
CN;"BORGO SAN DALMAZZO";B033;17/03/1861;
PR;"BORGO SAN DONNINO";B034;17/03/1861;05/07/1927
PR;FIDENZA;B034;06/07/1927;
BS;"BORGO SAN GIACOMO";B035;23/02/1863;
FI;"BORGO SAN LORENZO";B036;17/03/1861;
AL;"BORGO SAN MARTINO";B037;17/03/1861;
PV;"BORGO SAN SIRO";B038;17/03/1861;
IM;"BORGO SANT'AGATA";B039;17/03/1861;28/11/1923
BS;BORGOSATOLLO;B040;17/03/1861;
NO;BORGOSESIA;B041;23/02/1867;11/01/1927
VC;BORGOSESIA;B041;12/01/1927;
PR;"BORGO TARO";B042;25/04/1884;27/06/1928
PR;"BORGO VAL DI TARO";B042;28/06/1928;
NO;"BORGO TICINO";B043;17/03/1861;
BO;TOSSIGNANO;B044;18/06/1884;02/07/1954
BO;"BORGO TOSSIGNANO";B044;03/07/1954;
BG;BORGOUNITO;B045;30/06/1928;04/11/1947
NO;"BORGO VERCELLI";B046;26/04/1869;11/01/1927
VC;"BORGO VERCELLI";B046;12/01/1927;
GO;BERIE;B047;05/01/1921;07/02/1923
UD;BERIE;B047;08/02/1923;26/04/1923
UD;BORIANO;B047;27/04/1923;11/01/1927
GO;BORIANO;B047;12/01/1927;23/08/1928
GE;BORMIDA;B048;17/03/1861;11/01/1927
SV;BORMIDA;B048;12/01/1927;
SO;BORMIO;B049;17/03/1861;
PV;BORNASCO;B051;01/11/1872;
NO;BORNATE;B052;17/03/1861;11/01/1927
VC;BORNATE;B052;12/01/1927;08/10/1927
BS;BORNATO;B053;17/03/1861;01/11/1927
BS;BORNO;B054;17/03/1861;
CA;BORONEDDU;B055;17/03/1861;27/07/1927
CA;BORONEDDU;B055;14/08/1958;19/08/1974
OR;BORONEDDU;B055;20/08/1974;
CA;BORORE;B056;17/03/1861;11/01/1927
NU;BORORE;B056;12/01/1927;
CH;BORRELLO;B057;17/03/1861;
NO;BORRIANA;B058;17/03/1861;11/01/1927
VC;BORRIANA;B058;12/01/1927;15/04/1992
BI;BORRIANA;B058;16/04/1992;
MI;BORSANO;B059;03/01/1913;11/01/1927
VA;BORSANO;B059;12/01/1927;21/05/1928
RO;BORSEA;B060;19/11/1866;03/09/1927
TV;BORSO;B061;19/11/1866;21/03/1920
TV;"BORSO DEL GRAPPA";B061;22/03/1920;
CA;BORTIGALI;B062;14/01/1866;11/01/1927
NU;BORTIGALI;B062;12/01/1927;
SS;BORTIGIADAS;B063;17/03/1861;31/12/2005
OT;BORTIGIADAS;B063;01/01/2006;27/04/2016
SS;BORTIGIADAS;B063;28/04/2016;
SS;BORUTTA;B064;17/03/1861;
TN;BORZAGO;B065;16/10/1920;13/02/1923
TN;BORZAGO;B065;14/02/1923;29/10/1928
GE;BORZOLI;B066;17/03/1861;05/02/1926
GE;BORZONASCA;B067;17/03/1861;
CA;BOSA;B068;17/03/1861;11/01/1927
NU;BOSA;B068;12/01/1927;31/12/2005
OR;BOSA;B068;01/01/2006;
RO;BOSARO;B069;19/11/1866;
VR;"BOSCHI SANT'ANNA";B070;19/11/1866;14/04/1928
VR;"BOSCHI SANT'ANNA";B070;30/09/1947;
AL;"BOSCO MARENGO";B071;16/02/1863;
CO;"BOSCO VALTRAVAGLIA";B072;23/02/1863;11/01/1927
VA;"BOSCO VALTRAVAGLIA";B072;12/01/1927;21/01/1928
VR;"BOSCO CHIESANUOVA";B073;19/11/1866;
IM;BOSCOMARE;B074;17/03/1861;31/10/1928
TO;BOSCONERO;B075;17/03/1861;
NA;BOSCOREALE;B076;09/03/1877;27/04/1928
NA;BOSCOREALE;B076;28/02/1946;
NA;BOSCOTRECASE;B077;09/03/1877;27/04/1928
NA;BOSCOTRECASE;B077;28/02/1946;
TN;BOSENTINO;B078;16/10/1920;13/02/1923
TN;BOSENTINO;B078;14/02/1923;08/09/1928
TN;BOSENTINO;B078;30/03/1947;31/12/2015
CN;BOSIA;B079;17/03/1861;14/04/1928
CN;BOSIA;B079;10/01/1947;
AL;BOSIO;B080;07/04/1948;
CO;BOSISIO;B081;17/03/1861;09/07/1929
CO;"BOSISIO PARINI";B081;10/07/1929;15/04/1992
LC;"BOSISIO PARINI";B081;16/04/1992;
PV;BOSNASCO;B082;17/03/1861;
BG;BOSSICO;B083;17/03/1861;
CN;BOSSOLASCO;B084;17/03/1861;
CZ;BOTRICELLO;B085;17/01/1957;
LE;BOTRUGNO;B086;28/05/1958;
BG;BOTTANUCO;B088;17/03/1861;
PV;BOTTARONE;B089;29/07/1895;06/10/1928
BS;BOTTICINO;B091;29/03/1928;
BS;"BOTTICINO MATTINA";B092;17/03/1861;28/03/1928
BS;"BOTTICINO SERA";B093;17/03/1861;28/03/1928
SS;BOTTIDDA;B094;17/03/1861;29/11/1928
SS;BOTTIDDA;B094;01/08/1933;
RO;BOTTRIGHE;B095;19/11/1866;12/01/1929
TO;BOUSSON;B096;09/06/1882;13/12/1928
RC;BOVA;B097;17/03/1861;
RC;BOVALINO;B098;17/03/1861;
RC;"BOVA MARINA";B099;24/04/1908;
BS;BOVEGNO;B100;17/03/1861;
CN;BOVES;B101;17/03/1861;
BS;BOVEZZO;B102;17/03/1861;
TO;BOVILE;B103;17/03/1861;30/04/1928
FG;BOVINO;B104;17/03/1861;
MI;BOVISIO;B105;17/03/1861;07/08/1947
MI;BOVISIO-MASCIAGO;B105;08/08/1947;29/06/2009
MB;BOVISIO-MASCIAGO;B105;30/06/2009;
PD;BOVOLENTA;B106;19/11/1866;
VR;BOVOLONE;B107;19/11/1866;
TN;BOZZANA;B108;16/10/1920;13/02/1923
TN;BOZZANA;B108;14/02/1923;31/12/1928
AL;BOZZOLE;B109;17/03/1861;
MN;BOZZOLO;B110;01/07/1868;
CN;BRA;B111;17/03/1861;
BG;BRACCA;B112;17/03/1861;20/11/1927
BG;BRACCA;B112;22/04/1948;
BG;"BRACCA DI COSTA SERINA";B113;24/03/1928;20/04/1948
RM;BRACCIANO;B114;15/01/1871;
SA;BRACIGLIANO;B115;17/03/1861;
TN;BRAIES;B116;16/10/1920;13/02/1923
TN;BRAIES;B116;14/02/1923;11/01/1927
BZ;BRAIES;B116;12/01/1927;
PV;PREGOLA;B117;17/03/1861;29/03/1958
PV;"BRALLO DI PREGOLA";B117;30/03/1958;
RC;BRANCALEONE;B118;17/03/1861;
BS;BRANDICO;B120;17/03/1861;23/11/1927
BS;BRANDICO;B120;12/05/1947;
TO;BRANDIZZO;B121;17/03/1861;
PV;BRANDUZZO;B122;17/03/1861;08/12/1928
BG;BRANZI;B123;17/03/1861;
BS;BRAONE;B124;17/03/1861;28/12/1927
BS;BRAONE;B124;27/08/1949;
GO;BRAZZANO;B125;05/01/1921;07/02/1923
UD;BRAZZANO;B125;08/02/1923;11/01/1927
GO;BRAZZANO;B125;12/01/1927;08/09/1928
CO;BREBBIA;B126;17/03/1861;11/01/1927
VA;BREBBIA;B126;12/01/1927;
CO;BRECCIA;B127;17/03/1861;12/08/1943
TV;"BREDA DI PIAVE";B128;14/02/1868;
CR;CASTELVERDE;B129;19/08/1868;
CO;BREGANO;B131;17/03/1861;11/01/1927
VA;BREGANO;B131;12/01/1927;31/12/2022
VI;BREGANZE;B132;19/11/1866;
CO;BREGLIA;B133;17/03/1861;17/07/1928
CO;BREGNANO;B134;17/03/1861;
TN;BREGUZZO;B135;16/10/1920;13/02/1923
TN;BREGUZZO;B135;14/02/1923;23/02/1928
TN;BREGUZZO;B135;07/01/1947;31/12/2015
NO;BREIA;B136;17/03/1861;11/01/1927
VC;BREIA;B136;12/01/1927;31/12/2017
BG;BREMBATE;B137;15/08/1928;
BG;"BREMBATE DI SOPRA";B138;17/03/1861;06/01/1928
BG;"BREMBATE DI SOPRA";B138;26/02/1948;
BG;"BREMBATE DI SOTTO";B139;17/03/1861;14/08/1928
BG;BREMBILLA;B140;17/03/1861;03/02/2014
MI;BREMBIO;B141;17/03/1861;15/04/1992
LO;BREMBIO;B141;16/04/1992;
PV;BREME;B142;17/03/1861;
VI;BRENDOLA;B143;19/11/1866;
CO;BRENNA;B144;17/03/1861;
TN;"COLLE ISARCO";B145;16/10/1920;13/02/1923
TN;"COLLE ISARCO";B145;14/02/1923;11/01/1927
BZ;"COLLE ISARCO";B145;12/01/1927;02/05/1929
BZ;BRENNERO;B145;03/05/1929;
CO;"BRENNO USERIA";B146;23/02/1863;11/01/1927
VA;"BRENNO USERIA";B146;12/01/1927;16/10/1928
BG;SOMBRENO;B148;23/06/1864;16/05/1929
BS;BRENO;B149;17/03/1861;
CO;BRENTA;B150;17/03/1861;11/01/1927
VA;BRENTA;B150;12/01/1927;17/01/1928
VA;BRENTA;B150;01/09/1953;
VR;BRENTINO;B151;19/11/1866;16/10/1928
VR;"BRENTINO BELLUNO";B152;17/10/1928;
TN;BRENTONICO;B153;16/10/1920;13/02/1923
TN;BRENTONICO;B153;14/02/1923;
VR;"CASTELLETTO DI BRENZONE";B154;17/10/1870;23/03/1924
VR;BRENZONE;B154;24/03/1924;07/03/2014
VR;"BRENZONE SUL GARDA";B154;08/03/2014;
VR;BREONIO;B155;19/11/1866;24/01/1929
RE;BRESCELLO;B156;17/03/1861;
BS;BRESCIA;B157;25/06/1880;
TN;BRESIMO;B158;16/10/1920;13/02/1923
TN;BRESIMO;B158;14/02/1923;29/10/1928
TN;BRESIMO;B158;15/03/1947;
PV;"BRESSANA BOTTARONE";B159;07/10/1928;
TN;BRESSANONE;B160;16/10/1920;13/02/1923
TN;BRESSANONE;B160;14/02/1923;11/01/1927
BZ;BRESSANONE;B160;12/01/1927;
VI;BRESSANVIDO;B161;19/11/1866;
MI;BRESSO;B162;23/08/1884;
GO;"BRESTOVIZZA IN VALLE";B163;05/01/1921;07/02/1923
UD;"BRESTOVIZZA IN VALLE";B163;08/02/1923;11/01/1927
GO;"BRESTOVIZZA IN VALLE";B163;12/01/1927;23/08/1928
GO;"LOGA DI PLEZZO";B164;05/01/1921;07/02/1923
UD;"LOGA DI PLEZZO";B164;08/02/1923;26/04/1923
UD;BRETTO;B164;27/04/1923;11/01/1927
GO;BRETTO;B164;12/01/1927;03/05/1928
TN;BREZ;B165;16/10/1920;13/02/1923
TN;BREZ;B165;14/02/1923;31/12/2019
CO;"BREZZO DI BEDERO";B166;17/03/1861;11/01/1927
VA;"BREZZO DI BEDERO";B166;12/01/1927;07/12/1928
VA;"BREZZO DI BEDERO";B166;24/07/1953;
CN;BRIAGLIA;B167;17/03/1861;
CO;BRIANZOLA;B168;17/03/1861;10/02/1928
CZ;BRIATICO;B169;17/03/1861;15/04/1992
VV;BRIATICO;B169;16/04/1992;
TO;BRICHERASIO;B171;17/03/1861;
CO;BRIENNO;B172;17/03/1861;25/01/1928
CO;BRIENNO;B172;26/03/1948;
PZ;BRIENZA;B173;17/03/1861;
CN;"BRIGA MARITTIMA";B174;19/12/1862;15/09/1947
CN;"BRIGA ALTA";B175;07/10/1947;
NO;"BRIGA NOVARESE";B176;17/03/1861;
AL;"BRIGNANO DEL CURONE";B177;23/02/1863;18/06/1928
BG;"BRIGNANO GERA D'ADDA";B178;13/07/1863;
AL;BRIGNANO-FRASCATA;B179;19/06/1928;
LE;BRINDISI;B180;17/03/1861;11/01/1927
BR;BRINDISI;B180;12/01/1927;
PZ;"BRINDISI MONTAGNA";B181;06/02/1863;
CO;BRINZIO;B182;17/03/1861;11/01/1927
VA;BRINZIO;B182;12/01/1927;
NO;BRIONA;B183;17/03/1861;
BS;BRIONE;B184;17/03/1861;18/06/1928
BS;BRIONE;B184;13/02/1948;
TN;BRIONE;B185;16/10/1920;13/02/1923
TN;BRIONE;B185;14/02/1923;12/03/1928
TN;BRIONE;B185;24/12/1946;31/12/2015
PL;"BRIONI MAGGIORE";B186;26/01/1934;15/09/1947
MI;BRIOSCO;B187;13/02/1869;29/06/2009
MB;BRIOSCO;B187;30/06/2009;
RA;BRISIGHELLA;B188;17/03/1861;
NO;BRISINO;B189;17/03/1861;01/03/1927
CO;BRISSAGO;B190;17/03/1861;11/01/1927
VA;BRISSAGO;B190;12/01/1927;06/01/1928
VA;BRISSAGO-VALTRAVAGLIA;B191;07/01/1928;
TO;BRISSOGNE;B192;17/03/1861;11/01/1927
AO;BRISSOGNE;B192;12/01/1927;15/10/1928
AO;BRISSOGNE;B192;10/03/1946;
TE;BRITTOLI;B193;17/03/1861;11/01/1927
PE;BRITTOLI;B193;12/01/1927;
CO;BRIVIO;B194;17/03/1861;15/04/1992
LC;BRIVIO;B194;16/04/1992;
CE;BROCCO;B195;17/03/1861;11/01/1927
FR;BROCCO;B195;12/01/1927;13/08/1954
FR;BROCCOSTELLA;B195;14/08/1954;
VI;BROGLIANO;B196;19/11/1866;
CZ;BROGNATURO;B197;17/03/1861;15/04/1992
VV;BROGNATURO;B197;16/04/1992;
ME;BROLO;B198;17/03/1861;
CN;BRONDELLO;B200;17/03/1861;02/05/1928
CN;BRONDELLO;B200;12/11/1946;
PV;BRONI;B201;01/02/1869;
CT;BRONTE;B202;17/03/1861;
TN;BRONZOLO;B203;16/10/1920;13/02/1923
TN;BRONZOLO;B203;14/02/1923;13/03/1948
BZ;BRONZOLO;B203;14/03/1948;
CN;BROSSASCO;B204;17/03/1861;
TO;BROSSO;B205;17/03/1861;11/01/1927
AO;BROSSO;B205;12/01/1927;28/05/1929
TO;BROSSO;B205;11/11/1946;
NO;BROVELLO;B206;17/03/1861;25/09/1928
NO;BROVELLO-CARPUGNINO;B207;25/09/1928;22/05/1992
VB;BROVELLO-CARPUGNINO;B207;23/05/1992;
GE;BROVIDA;B208;17/03/1861;11/01/1927
SV;BROVIDA;B208;12/01/1927;12/04/1929
TO;BROZOLO;B209;17/03/1861;03/04/1928
TO;BROZOLO;B209;21/01/1947;
FI;BROZZI;B210;17/03/1861;16/12/1928
BS;BROZZO;B211;17/03/1861;23/12/1927
MI;BRUGHERIO;B212;14/01/1867;29/06/2009
MB;BRUGHERIO;B212;30/06/2009;
PD;BRUGINE;B213;19/11/1866;
GE;BRUGNATO;B214;17/03/1861;21/12/1923
SP;BRUGNATO;B214;22/12/1923;
UD;BRUGNERA;B215;01/01/1871;05/04/1968
PN;BRUGNERA;B215;06/04/1968;
TO;BRUINO;B216;17/03/1861;
BG;BRUMANO;B217;17/03/1861;
CO;BRUNATE;B218;17/03/1861;12/08/1943
CO;BRUNATE;B218;03/11/1947;
CO;BRUNELLO;B219;17/03/1861;11/01/1927
VA;BRUNELLO;B219;12/01/1927;12/01/1928
VA;BRUNELLO;B219;04/03/1956;
TN;BRUNICO;B220;16/10/1920;13/02/1923
TN;BRUNICO;B220;14/02/1923;11/01/1927
BZ;BRUNICO;B220;12/01/1927;
AL;BRUNO;B221;17/03/1861;07/04/1935
AT;BRUNO;B221;08/04/1935;
BG;BRUNTINO;B222;17/03/1861;31/07/1927
BG;BRUSAPORTO;B223;17/03/1861;12/11/1927
BG;BRUSAPORTO;B223;20/05/1956;
AL;BRUSASCHETTO;B224;17/03/1861;22/05/1929
TO;BRUSSASCO;B225;17/03/1861;02/04/1928
TO;BRUSASCO;B225;21/07/1957;
TO;"BRUSASCO CAVAGNOLO";B226;03/04/1928;20/07/1957
CE;BRUSCIANO;B227;17/03/1861;11/01/1927
NA;BRUSCIANO;B227;12/01/1927;
CO;BRUSIMPIANO;B228;17/03/1861;11/01/1927
VA;BRUSIMPIANO;B228;12/01/1927;
NO;BRUSNENGO;B229;17/03/1861;11/01/1927
VC;BRUSNENGO;B229;12/01/1927;15/04/1992
BI;BRUSNENGO;B229;16/04/1992;
TO;BRUSSON;B230;17/03/1861;11/01/1927
AO;BRUSSON;B230;12/01/1927;20/10/1939
AO;BRUSSONE;B230;21/10/1939;29/01/1946
AO;BRUSSON;B230;30/01/1946;
TO;BRUZOLO;B232;17/03/1861;
RC;"BRUZZANO ZEFFIRIO";B234;15/01/1885;
MI;BUBBIANO;B235;17/03/1861;
AL;BUBBIO;B236;17/03/1861;07/04/1935
AT;BUBBIO;B236;08/04/1935;
SR;BUCCHERI;B237;17/03/1861;
CH;BUCCHIANICO;B238;17/03/1861;
BN;BUCCIANO;B239;17/03/1861;
MI;BUCCINASCO;B240;02/08/1870;
CO;BUCCINIGO;B241;17/03/1861;25/01/1928
SA;BUCCINO;B242;17/03/1861;
AR;BUCINE;B243;17/03/1861;
TS;BUCUIE;B244;05/01/1921;07/02/1923
TS;BUCUIE;B244;08/02/1923;15/09/1947
GO;BUDAGNE;B245;05/01/1921;07/02/1923
UD;BUDAGNE;B245;08/02/1923;11/01/1927
GO;BUDAGNE;B245;12/01/1927;28/04/1928
SS;BUDDUSO';B246;17/03/1861;31/12/2005
OT;BUDDUSO';B246;01/01/2006;27/04/2016
SS;BUDDUSO';B246;28/04/2016;
UD;BUDOIA;B247;19/11/1866;05/04/1968
PN;BUDOIA;B247;06/04/1968;
NU;BUDONI;B248;01/05/1959;31/12/2005
OT;BUDONI;B248;01/01/2006;27/04/2016
SS;BUDONI;B248;28/04/2016;
BO;BUDRIO;B249;30/01/1869;
CA;BUGGERRU;B250;12/03/1960;19/08/1974
CA;BUGGERRU;B250;20/08/1974;31/12/2005
CI;BUGGERRU;B250;01/01/2006;27/04/2016
SU;BUGGERRU;B250;28/04/2016;
LU;BUGGIANO;B251;21/05/1883;25/01/1928
PT;BUGGIANO;B251;26/01/1928;
CO;BUGGIOLO;B252;17/03/1861;30/06/1928
CO;BUGIALLO;B253;17/03/1861;11/05/1928
SO;"BUGLIO IN MONTE";B255;13/07/1863;
AQ;BUGNARA;B256;17/03/1861;
NO;BUGNATE;B257;17/03/1861;22/02/1928
CO;BUGUGGIATE;B258;17/03/1861;11/01/1927
VA;BUGUGGIATE;B258;12/01/1927;12/01/1928
VA;BUGUGGIATE;B258;04/03/1956;
UD;BUJA;B259;19/11/1866;05/04/1968
UD;BUJA;B259;06/04/1968;
PL;"BUIE D'ISTRIA";B260;05/01/1921;07/02/1923
PL;"BUIE D'ISTRIA";B260;08/02/1923;03/04/1977
CO;BULCIAGO;B261;17/03/1861;15/04/1992
LC;BULCIAGO;B261;16/04/1992;
CO;BULGAROGRASSO;B262;17/03/1861;01/11/1927
CO;BULGAROGRASSO;B262;05/04/1950;
CO;BULGORELLO;B263;17/03/1861;13/06/1928
SS;BULTEI;B264;17/03/1861;
SS;BULZI;B265;17/03/1861;
SA;BUONABITACOLO;B266;17/03/1861;
BN;BUONALBERGO;B267;17/03/1861;
CH;BUONANOTTE;B268;17/03/1861;03/11/1928
CH;BUONANOTTE;B268;23/05/1947;13/06/1969
CH;"MONTEBELLO SUL SANGRO";B268;14/06/1969;
SI;BUONCONVENTO;B269;17/03/1861;
CS;BUONVICINO;B270;17/03/1861;
MI;"BURAGO DI MOLGORA";B272;29/12/1862;29/06/2009
MB;"BURAGO DI MOLGORA";B272;30/06/2009;
VE;BURANO;B273;19/11/1866;13/01/1924
CA;BURCEI;B274;17/03/1861;19/08/1974
CA;BURCEI;B274;20/08/1974;27/04/2016
SU;BURCEI;B274;28/04/2016;
AG;BURGIO;B275;17/03/1861;
SS;BURGOS;B276;17/03/1861;
TN;BURGUSIO;B277;16/10/1920;13/02/1923
TN;BURGUSIO;B277;14/02/1923;11/01/1927
BZ;BURGUSIO;B277;12/01/1927;26/01/1928
TO;BURIASCO;B278;17/03/1861;
TO;BUROLO;B279;17/03/1861;11/01/1927
AO;BUROLO;B279;12/01/1927;19/04/1929
TO;BUROLO;B279;24/12/1946;
NO;BURONZO;B280;17/03/1861;11/01/1927
VC;BURONZO;B280;12/01/1927;
CA;BUSACHI;B281;17/03/1861;19/08/1974
OR;BUSACHI;B281;20/08/1974;
GE;BUSALLA;B282;17/03/1861;
RE;BUSANA;B283;17/03/1861;31/12/2015
TO;BUSANO;B284;17/03/1861;20/10/1927
TO;BUSANO;B284;24/12/1946;
CN;BUSCA;B285;17/03/1861;
MI;BUSCATE;B286;17/03/1861;
SR;BUSCEMI;B287;17/03/1861;
TP;"BUSETO PALIZZOLO";B288;01/08/1950;
MI;BUSNAGO;B289;17/03/1861;17/12/2009
MB;BUSNAGO;B289;18/12/2009;
RO;"BUSO SARZANO";B290;22/07/1867;03/09/1927
IM;BUSSANA;B291;17/03/1861;03/04/1928
MI;BUSSERO;B292;17/03/1861;
PR;BUSSETO;B293;17/03/1861;
AQ;"BUSSI SUL TIRINO";B294;09/11/1889;11/01/1927
PE;"BUSSI SUL TIRINO";B294;12/01/1927;
CB;BUSSO;B295;17/03/1861;02/03/1970
CB;BUSSO;B295;03/03/1970;
VR;BUSSOLENGO;B296;19/11/1866;
TO;BUSSOLENO;B297;17/03/1861;
TO;"BUSSOLINO GASSINESE";B298;07/11/1864;29/07/1928
MI;"BUSTO ARSIZIO";B300;17/03/1861;13/04/1927
VA;"BUSTO ARSIZIO";B300;14/04/1927;
MI;"BUSTO GAROLFO";B301;22/07/1869;
CL;BUTERA;B302;17/03/1861;
PI;BUTI;B303;24/06/1867;
VR;BUTTAPIETRA;B304;19/11/1866;
TO;"BUTTIGLIERA ALTA";B305;05/01/1863;
AL;"BUTTIGLIERA D'ASTI";B306;17/03/1861;07/04/1935
AT;"BUTTIGLIERA D'ASTI";B306;08/04/1935;
NO;BUTTOGNO;B308;17/03/1861;28/06/1928
UD;BUTTRIO;B309;02/01/1870;05/04/1968
UD;BUTTRIO;B309;06/04/1968;
BG;"SAN PAOLO D'ARGON";B310;22/07/1887;17/05/1929
BG;"SAN PAOLO D'ARGON";B310;24/06/1947;
AL;"CABELLA LIGURE";B311;21/01/1895;
CO;CABIAGLIO;B312;17/03/1861;11/01/1927
VA;CABIAGLIO;B312;12/01/1927;06/08/1940
VA;"CASTELLO CABIAGLIO";B312;07/08/1940;
CO;CABIATE;B313;17/03/1861;
CA;CABRAS;B314;17/03/1861;19/08/1974
OR;CABRAS;B314;20/08/1974;
PA;CACCAMO;B315;17/03/1861;
BS;CACCAVERO;B316;17/03/1861;14/03/1907
BS;CAMPOVERDE;B316;15/03/1907;08/06/1927
CB;CACCAVONE;B317;17/03/1861;06/03/1922
CB;"POGGIO SANNITA";B317;07/03/1922;02/03/1970
IS;"POGGIO SANNITA";B317;03/03/1970;
TS;CACCIA;B318;31/12/1921;07/02/1923
TS;CACCIA;B318;08/02/1923;22/08/1925
CZ;CACCURI;B319;17/03/1861;15/04/1992
KR;CACCURI;B319;16/04/1992;
CR;"CA' D'ANDREA";B320;28/01/1869;31/12/2018
NO;CADDO;B321;17/03/1861;07/03/1928
CO;CADEGLIANO;B325;22/07/1908;11/01/1927
VA;CADEGLIANO;B325;12/01/1927;15/08/1928
VA;CADEGLIANO-VICONAGO;B326;16/08/1928;
RE;"CADELBOSCO DI SOPRA";B328;01/01/1866;
PC;CADEO;B332;17/03/1861;
CO;"CADERO CON GRAGLIO";B334;08/11/1877;11/01/1927
VA;"CADERO CON GRAGLIO";B334;12/01/1927;06/08/1928
TN;CADERZONE;B335;16/10/1920;13/02/1923
TN;CADERZONE;B335;14/02/1923;16/02/1928
TN;CADERZONE;B335;15/01/1947;14/10/2008
TN;"CADERZONE TERME";B335;15/10/2008;
CR;"CA' DE' STEFANI";B339;22/08/1868;23/11/1927
PV;"CA' DE' TEDIOLI";B340;17/03/1861;01/03/1871
VR;"CA' DI DAVID";B342;19/11/1866;11/05/1927
BS;CADIGNANO;B343;17/03/1861;25/01/1928
TN;CADINE;B344;16/10/1920;13/02/1923
TN;CADINE;B344;14/02/1923;30/09/1926
PD;CADONEGHE;B345;16/01/1880;
CO;CADORAGO;B346;17/03/1861;
CO;CADREZZATE;B347;17/03/1861;11/01/1927
VA;CADREZZATE;B347;12/01/1927;14/02/2019
RO;"CA' EMO";B348;12/06/1882;13/01/1929
TV;"CAERANO DI SAN MARCO";B349;06/03/1872;03/05/1928
TV;"CAERANO DI SAN MARCO";B349;01/05/1945;
TO;CAFASSE;B350;17/03/1861;
SA;CAGGIANO;B351;17/03/1861;
PU;CAGLI;B352;17/03/1861;
CO;CAGLIANO;B353;17/03/1861;05/02/1928
CA;CAGLIARI;B354;17/03/1861;19/08/1974
CA;CAGLIARI;B354;20/08/1974;
CO;CAGLIO;B355;17/03/1861;02/04/1928
CO;CAGLIO;B355;01/10/1947;
FG;"CAGNANO VARANO";B357;10/11/1862;
AQ;"CAGNANO AMITERNO";B358;23/06/1864;
CO;CAGNO;B359;17/03/1861;31/12/2018
TN;CAGNO';B360;16/10/1920;13/02/1923
TN;CAGNO';B360;14/02/1923;05/09/1928
TN;CAGNO';B360;13/05/1950;31/12/2019
CE;CAIANELLO;B361;17/03/1861;11/01/1927
NA;CAIANELLO;B361;12/01/1927;31/08/1945
CE;CAIANELLO;B361;01/09/1945;
CE;CAIAZZO;B362;17/03/1861;11/01/1927
BN;CAIAZZO;B362;12/01/1927;31/08/1945
CE;CAIAZZO;B362;01/09/1945;
TN;CAINES;B364;16/10/1920;13/02/1923
TN;CAINES;B364;14/02/1923;11/01/1927
BZ;CAINES;B364;12/01/1927;
BS;CAINO;B365;17/03/1861;21/01/1928
BS;CAINO;B365;25/03/1956;
SO;CAIOLO;B366;17/03/1861;
AV;CAIRANO;B367;17/03/1861;
MI;CAIRATE;B368;11/03/1869;11/01/1927
VA;CAIRATE;B368;12/01/1927;
GE;"CAIRO MONTENOTTE";B369;25/06/1880;11/01/1927
SV;"CAIRO MONTENOTTE";B369;12/01/1927;
NA;CAIVANO;B371;17/03/1861;
MI;CAJELLO;B372;17/03/1861;14/01/1924
BS;CAJONVICO;B373;17/03/1861;28/03/1928
AV;CALABRITTO;B374;17/03/1861;
BL;CALALZO;B375;19/11/1866;02/09/1959
BL;"CALALZO DI CADORE";B375;03/09/1959;
AL;CALAMANDRANA;B376;17/03/1861;07/04/1935
AT;CALAMANDRANA;B376;08/04/1935;
AG;CALAMONACI;B377;17/03/1861;
SS;CALANGIANUS;B378;17/03/1861;31/12/2005
OT;CALANGIANUS;B378;01/01/2006;27/04/2016
SS;CALANGIANUS;B378;28/04/2016;
RC;CALANNA;B379;17/03/1861;
NO;CALASCA;B380;17/03/1861;05/09/1928
NO;CALASCA-CASTIGLIONE;B380;06/09/1928;22/05/1992
VB;CALASCA-CASTIGLIONE;B380;23/05/1992;
CL;CALASCIBETTA;B381;17/03/1861;11/01/1927
EN;CALASCIBETTA;B381;12/01/1927;
AQ;CALASCIO;B382;17/03/1861;
CA;CALASETTA;B383;17/03/1861;19/08/1974
CA;CALASETTA;B383;20/08/1974;31/12/2005
CI;CALASETTA;B383;01/01/2006;27/04/2016
SU;CALASETTA;B383;28/04/2016;
CT;CALATABIANO;B384;17/03/1861;
TP;CALATAFIMI;B385;17/03/1861;19/09/1999
TP;CALATAFIMI-SEGESTA;B385;20/09/1999;
TN;CALAVINO;B386;16/10/1920;13/02/1923
TN;CALAVINO;B386;14/02/1923;28/07/1928
TN;CALAVINO;B386;12/09/1953;31/12/2015
PV;LUNGAVILLA;B387;07/01/1895;
RM;CALCATA;B388;15/01/1871;11/01/1927
